,Date,Round,Home Team,Away Team,Home Score,Away Score,Winner,Season
81,2001-06-09 14:10:00,11,Geelong,Hawthorn,93,90,Home,2001
82,2001-06-09 19:40:00,11,West Coast,Brisbane Lions,62,84,Away,2001
83,2001-06-09 19:40:00,11,Adelaide,Western Bulldogs,97,127,Away,2001
84,2001-06-10 14:10:00,11,Richmond,Carlton,88,61,Home,2001
85,2001-06-10 14:10:00,11,North Melbourne,Fremantle,154,68,Home,2001
86,2001-06-10 14:10:00,11,Sydney,Port Adelaide,125,78,Home,2001
87,2001-06-11 14:10:00,11,Melbourne,Collingwood,57,134,Away,2001
88,2001-06-15 19:40:00,12,Essendon,Adelaide,122,73,Home,2001
89,2001-06-16 14:10:00,12,Geelong,Western Bulldogs,87,94,Away,2001
90,2001-06-16 19:40:00,12,Fremantle,St Kilda,80,90,Away,2001
91,2001-06-17 14:10:00,12,Melbourne,Brisbane Lions,99,148,Away,2001
92,2001-06-22 19:40:00,12,Collingwood,West Coast,173,92,Home,2001
93,2001-06-23 14:10:00,12,Hawthorn,North Melbourne,101,98,Home,2001
94,2001-06-23 19:00:00,12,Richmond,Sydney,86,60,Home,2001
95,2001-06-24 14:10:00,12,Port Adelaide,Carlton,70,104,Away,2001
96,2001-06-29 19:40:00,13,Brisbane Lions,Hawthorn,140,53,Home,2001
97,2001-06-30 13:40:00,13,North Melbourne,Port Adelaide,95,73,Home,2001
98,2001-06-30 14:10:00,13,Carlton,Western Bulldogs,153,92,Home,2001
99,2001-06-30 14:10:00,13,Essendon,Fremantle,118,72,Home,2001
100,2001-06-30 19:40:00,13,Adelaide,Collingwood,97,99,Away,2001
101,2001-07-01 14:10:00,13,Sydney,Geelong,65,84,Away,2001
102,2001-07-01 14:10:00,13,St Kilda,Richmond,87,126,Away,2001
103,2001-07-01 16:10:00,13,West Coast,Melbourne,95,88,Home,2001
104,2001-07-06 19:40:00,14,Western Bulldogs,Essendon,76,154,Away,2001
105,2001-07-07 14:10:00,14,Richmond,Hawthorn,71,129,Away,2001
106,2001-07-07 19:40:00,14,Adelaide,West Coast,64,51,Home,2001
107,2001-07-07 19:40:00,14,Brisbane Lions,St Kilda,119,62,Home,2001
108,2001-07-08 14:10:00,14,Sydney,Carlton,91,81,Home,2001
109,2001-07-08 14:10:00,14,Geelong,Collingwood,111,93,Home,2001
110,2001-07-08 14:10:00,14,Melbourne,North Melbourne,93,121,Away,2001
111,2001-07-08 15:40:00,14,Fremantle,Port Adelaide,71,163,Away,2001
112,2001-07-13 19:40:00,15,St Kilda,Adelaide,59,156,Away,2001
113,2001-07-14 14:10:00,15,Carlton,Melbourne,111,117,Away,2001
114,2001-07-14 14:10:00,15,Western Bulldogs,Fremantle,119,85,Home,2001
115,2001-07-14 14:10:00,15,Hawthorn,Sydney,77,98,Away,2001
116,2001-07-14 19:40:00,15,Port Adelaide,Richmond,96,52,Home,2001
117,2001-07-15 14:10:00,15,West Coast,North Melbourne,110,154,Away,2001
118,2001-07-15 14:10:00,15,Collingwood,Brisbane Lions,103,129,Away,2001
119,2001-07-15 14:10:00,15,Essendon,Geelong,127,112,Home,2001
120,2001-07-20 19:40:00,16,Richmond,Melbourne,127,86,Home,2001
121,2001-07-21 14:10:00,16,Carlton,Fremantle,131,56,Home,2001
122,2001-07-21 14:10:00,16,Collingwood,Hawthorn,89,144,Away,2001
123,2001-07-21 19:00:00,16,St Kilda,Western Bulldogs,78,112,Away,2001
124,2001-07-21 19:40:00,16,Brisbane Lions,Port Adelaide,94,60,Home,2001
125,2001-07-22 14:10:00,16,West Coast,Geelong,80,150,Away,2001
126,2001-07-22 14:10:00,16,Adelaide,Sydney,56,105,Away,2001
127,2001-07-22 14:10:00,16,Essendon,North Melbourne,171,159,Home,2001
128,2001-07-27 19:40:00,17,Western Bulldogs,Richmond,100,102,Away,2001
129,2001-07-28 14:10:00,17,Melbourne,Adelaide,84,100,Away,2001
130,2001-07-28 14:10:00,17,Geelong,St Kilda,78,66,Home,2001
131,2001-07-28 19:00:00,17,North Melbourne,Brisbane Lions,115,136,Away,2001
132,2001-07-28 19:40:00,17,Fremantle,Collingwood,90,119,Away,2001
133,2001-07-29 14:10:00,17,Port Adelaide,Essendon,104,97,Home,2001
